PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
1E8V,90,90,120,137.46,137.46,116.6,454,-0.243,7.67,32.6,10.13,4.19,11.89,15.42,20.04,40.31,59.69,-15.9,2.30E-12,9,27,29,19,44,25,25.95,34.85,793
1EA9,90,90,90,334.608,334.608,334.608,583,-0.444,5.76,31.56,14.07,3.26,14.75,21.44,9.43,43.4,56.6,-6.4,2.10E-05,14,4,5,0,0,2,32.16,37.2,859
1EF7,90,90,90,62.251,92.48,209.876,242,-0.545,5.57,33.47,11.57,6.2,11.57,21.9,12.4,46.28,53.72,-9,2.60E-07,10,9,4,0,6,9,26.59,32.08,459
1EGA,90,115.82,90,86.79,67.56,87.29,301,-0.192,7.3,40.2,6.31,3.65,15.95,20.6,9.97,50.17,49.83,-7.5,2.90E-06,7,21,9,11,20,4,33.55,41.29,449
1EKE,90,111.85,90,61.484,55.424,72.145,230,-0.491,8.7,36.09,6.96,2.61,20.43,23.91,7.39,47.39,52.61,-6.1,3.30E-05,3,7,9,1,4,5,47.76,27.46,411
1EQ9,90,90,90,61.12,85.84,97.61,222,-0.26,5.86,39.64,5.86,3.15,11.71,22.52,12.61,43.24,56.76,-10.5,1.90E-08,6,0,30,1,10,14,25.7,40.25,353
1EV7,90,95.92,90,99.78,56.16,59.05,317,-0.453,6.8,39.43,5.99,2.52,15.46,23.03,7.89,48.9,51.1,-10.4,2.30E-08,35,17,26,3,6,7,32.5,41.36,466
1EVX,90,90,90,52.8,52.8,278.8,162,-0.237,8.04,38.89,8.02,4.94,13.58,16.67,9.88,43.83,56.17,-18.7,1.90E-14,10,14,56,0,32,89,13.03,49.43,253
1EZ2,90,91.6,90,129.4,91,69.2,331,0.085,7.22,43.81,7.25,2.11,12.39,15.41,14.8,44.71,55.29,-12.7,5.20E-10,11,10,34,8,27,34,28.92,44.36,701
1FBT,90,94.4,90,48.4,56.6,93.7,190,-0.397,6.03,35.26,10,5.26,14.74,21.58,9.47,59.47,40.53,-10.1,3.90E-08,14,14,32,4,8,4,33.68,36.11,331
1FF0,90,90,90,51.24,57.82,61.45,99,0.29,9.89,50.51,5.05,2.02,11.11,16.16,9.09,50.51,49.49,-13,2.90E-10,7,3,13,11,45,79,24.32,51.35,161
1FJ2,90,102.8,90,39.59,127.89,39.66,232,0.068,6.23,40.52,6.47,6.03,9.91,17.24,12.07,42.24,57.76,-10.7,1.30E-08,1,8,18,5,26,46,23.38,47.08,393
1FQ3,90,90,90,41.74,114.31,135.52,227,-0.559,10.11,31.72,7.49,5.73,18.5,17.62,11.89,44.05,55.95,-8.7,3.80E-07,4,2,10,3,8,5,28.66,31.27,260
1FSY,90,116.18,90,118.36,77.57,97.46,358,-0.25,9.2,39.66,10.34,1.68,10.34,19.27,11.45,44.41,55.59,-6.5,1.60E-05,2,3,3,10,12,15,22.78,40.3,648
1FXF,90,90,120,65.039,65.039,62.752,124,-0.592,6.21,22.58,11.29,12.9,12.9,23.39,12.9,40.32,59.68,-8.4,6.40E-07,4,4,7,6,5,8,24.64,27.49,229
1G0I,90,90,90,68.02,78.45,130.05,252,-0.135,4.94,37.7,12.3,2.38,13.49,21.83,9.13,44.44,55.56,-11.5,3.70E-09,5,5,31,2,20,33,40.12,35.49,412
1G8T,90,90,90,106.39,73.67,68.12,245,-0.41,6.67,35.92,8.16,2.45,11.84,20.82,14.69,37.14,62.86,-9.3,1.60E-07,7,10,25,3,7,22,28.38,36.96,482
1G9Q,90,90,90,66.93,67.89,98.07,209,-0.216,4.72,40.19,7.66,2.39,13.88,22.97,9.57,53.59,46.41,-27.8,4.20E-21,23,32,90,4,59,119,35.37,37.76,362
1GE7,90,90,90,30.202,30.202,308.049,167,-0.469,5.88,28.74,13.77,4.19,8.38,17.37,24.55,31.14,68.86,-9.8,6.20E-08,3,6,9,1,3,3,14.29,31.09,369
1GKD,90,90,90,56.523,56.523,263.761,163,-0.271,5.13,37.42,14.72,1.84,12.88,19.02,7.98,38.65,61.35,-9.8,6.90E-08,8,6,22,0,12,17,22.73,46.69,221
1GNX,90,90,90,96.7,111.28,185.31,479,-0.356,5.79,40.92,10.02,1.25,12.94,17.54,10.86,40.08,59.92,-8.5,5.40E-07,10,8,28,2,8,25,32.59,43.2,912
1GQF,90,90,120,90.21,90.21,183.02,265,-0.488,6.83,30.94,9.81,5.28,17.36,21.89,10.94,42.64,57.36,-12.8,4.20E-10,16,18,17,9,27,34,36.29,30.65,395
1GVI,90,90,120,119.09,119.09,270.2,588,-0.398,5.96,33.16,14.12,3.57,14.97,20.41,7.82,45.07,54.93,-19.2,9.00E-15,56,22,72,2,12,23,33.17,37.7,948
1H1B,90,90,90,68.88,68.88,241.15,218,0.308,10.8,48.62,6.42,5.05,11.01,16.51,8.26,50.46,49.54,-10.5,2.10E-08,4,6,23,1,16,22,15.33,50.67,316
1H5X,90,90,90,50.22,82.06,125.14,247,-0.221,9.03,37.25,10.12,2.43,12.55,20.65,13.77,44.94,55.06,-13.1,2.70E-10,18,9,30,2,14,9,28.92,34.15,438
1H8X,90,90,90,50.61,61.43,75.14,128,-0.834,8.4,21.09,7.03,10.16,16.41,22.66,17.97,43.75,56.25,-16,1.70E-12,21,21,35,14,28,36,26.32,28.71,210
1HAV,99.08,129,103.31,53.6,53.55,53.2,217,-0.094,8.93,41.01,7.83,4.15,12.9,19.82,11.06,46.08,53.92,-7,7.50E-06,5,4,5,0,6,9,27.56,40.06,306
1HJK,90,90,90,195.52,167.86,77.03,449,-0.364,5.3,41.65,4.9,2.67,11.14,21.16,13.81,36.53,63.47,-24.3,1.50E-18,28,48,65,33,76,108,31.69,38.39,884
1HLG,90,90,90,244.33,244.33,244.33,371,-0.227,7.01,32.88,14.56,3.23,10.78,20.75,12.13,42.59,57.41,-8.2,9.50E-07,9,1,9,0,4,2,24.4,37.58,695
1HN4,90,104.058,90,37.488,54.852,56.896,131,-0.629,6.21,22.9,10.69,12.21,12.98,23.66,13.74,41.22,58.78,-11.1,6.70E-09,2,4,8,0,14,13,24.88,29.58,222
1HRH,90,90,120,51.9,51.9,114.9,136,-0.272,7.5,43.38,6.62,0,12.5,25,9.56,50.74,49.26,-7.9,1.60E-06,3,2,14,1,6,6,28,37.5,205
1HRN,90,90,90,141.1,141.1,141.1,337,-0.064,5.15,35.91,11.57,4.15,9.2,16.91,18.4,42.43,57.57,-6.9,8.20E-06,4,15,11,3,2,6,23.16,38.31,571
1HUJ,90,99.47,90,69.05,92.52,51.58,281,-0.542,5.25,33.45,9.96,1.07,14.59,23.49,10.68,39.15,60.85,-7.4,3.80E-06,11,7,18,0,2,28,36.45,36.45,498
1HXJ,90,92.1,90,55.664,110.718,72.94,507,-0.567,5.38,30.77,13.81,3.55,12.62,21.89,11.05,41.81,58.19,-9.5,1.10E-07,6,16,20,1,10,18,34.12,34.12,995
1HZY,90,91.7,90,128.4,90.03,68.4,332,0.084,7.22,43.98,7.23,2.11,12.35,15.36,14.76,44.58,55.42,-13,3.10E-10,11,10,32,8,29,37,29.57,43.61,720
1I2W,90,94.18,90,47.344,106.372,63.873,282,-0.623,4.84,35.46,5.67,1.77,14.18,25.89,12.77,41.49,58.51,-6.4,2.00E-05,7,6,10,10,11,4,43.28,30.75,534
1I4S,90,90,90,46.157,51.188,123.468,147,-0.18,8.74,36.73,13.61,1.36,17.69,20.41,8.84,48.98,51.02,-9.9,5.30E-08,13,11,16,2,14,27,43.14,30.39,271
1I74,90,90,90,75.6,95.3,95.5,309,-0.052,4.54,43.37,6.15,1.62,9.71,24.6,11.33,44.01,55.99,-9.2,1.70E-07,6,10,29,0,6,20,26.24,42.31,592
1I78,90,90,120,98.389,98.389,165.695,297,-0.766,5.21,31.31,14.14,1.68,11.45,23.23,15.15,39.39,60.61,-6.8,1.10E-05,0,0,1,0,5,36,25.96,36.51,599
1IEC,90,90,90,76.1,76.1,169.4,256,-0.307,5.39,38.28,7.03,3.13,12.5,19.53,14.06,48.83,51.17,-13.3,1.80E-10,9,9,27,5,28,50,35.42,35.76,361
1IEF,90,90,90,76.4,76.4,171.8,256,-0.317,5.68,38.28,7.03,3.13,12.89,19.53,13.67,48.83,51.17,-14.1,4.20E-11,12,9,30,4,28,48,34.81,35.84,376
1II0,90,90,90,76.727,222.189,74.126,589,-0.105,6.21,41.6,4.58,2.89,12.39,19.52,13.41,46.18,53.82,-10.1,3.60E-08,31,6,28,2,2,7,26.73,42.28,960
1IJL,90,99.35,90,48.71,38,69.9,123,-0.681,4.32,22.76,13.01,13.82,12.2,22.76,10.57,48.78,51.22,-10.5,1.90E-08,5,2,19,1,11,26,31.86,30.39,189
1IPI,90,90,120,59.969,59.969,134.554,123,-0.063,10.74,43.09,8.94,2.44,21.14,13.01,8.94,48.78,51.22,-7.2,5.30E-06,3,5,27,1,8,43,36.69,44.38,201
1ISJ,90,90,90,58.804,112.59,129.881,265,-0.452,6.84,30.57,10.19,5.66,15.09,20,13.21,45.28,54.72,-10.4,2.40E-08,9,4,35,0,4,35,35.62,31.51,469
1ISX,90,90,90,75.37,94.46,138.27,436,-0.453,6.5,37.39,9.17,3.67,9.63,21.56,16.28,38.99,61.01,-11.8,2.10E-09,9,13,14,11,23,22,21.76,34.37,898
1ITU,90,96.34,90,80.179,79.491,56.951,369,-0.284,5.6,37.13,7.86,3.79,12.47,21.68,12.74,47.43,52.57,-17.3,2.00E-13,27,32,52,2,20,32,33.49,31.62,841
1ITV,90,90,90,127.72,127.72,31.38,195,-0.379,8.79,34.36,13.85,3.08,14.87,20,8.72,47.69,52.31,-7.9,1.50E-06,6,4,12,0,10,24,35.64,38.06,272
1IU8,90,128.68,90,104.899,66.479,76.396,206,-0.121,5.35,39.81,5.83,3.4,13.11,18.93,11.17,46.12,53.88,-7.1,6.60E-06,10,2,16,1,6,20,35.16,41.39,408
1IUN,90,90,120,98.797,98.797,149.34,282,-0.137,5.03,40.07,9.57,2.84,11.7,20.21,10.99,47.87,52.13,-10.1,3.70E-08,22,4,27,0,6,14,32.69,39.84,546
1IX1,90,90,90,68.75,74.46,77.18,171,-0.489,5.12,33.92,6.43,4.68,16.96,26.9,5.26,52.63,47.37,-6,4.10E-05,12,3,14,0,0,3,37.35,39.3,309
1IYB,90,90,90,44.8,94.3,98.1,208,-0.453,4.53,29.33,13.94,5.29,8.17,23.56,13.46,39.9,60.1,-8.4,7.20E-07,4,14,2,13,15,3,21.45,32.34,342
1IZY,90,90,120,52.91,52.91,316.6,283,-0.225,5.77,37.81,10.6,3.53,12.37,19.43,9.54,38.87,61.13,-10.9,9.90E-09,13,10,8,1,20,5,30.05,38.8,450
1J0H,90,90.84,90,68.713,72.762,123.64,588,-0.478,5.03,30.27,14.97,3.74,14.12,22.28,8.67,46.6,53.4,-20.3,1.30E-15,56,18,77,0,11,28,34.39,34.26,1170
1JF5,90,90,90,112.6,118.05,113.13,585,-0.434,5.89,35.04,12.99,2.56,14.87,21.37,8.89,48.38,51.62,-17.1,3.00E-13,50,20,63,0,7,20,35.22,35.48,1091
1JGM,90,91.72,90,128.45,90.03,68.39,336,0.09,7.22,44.05,7.14,2.08,12.2,15.18,15.18,44.35,55.65,-12.8,4.40E-10,11,10,32,8,28,36,28.43,44.34,713
1JGT,90,90.78,90,61.352,97.873,80.969,513,-0.094,6.33,45.81,4.68,1.75,14.04,14.62,12.87,43.08,56.92,-11.4,4.30E-09,21,10,41,4,14,16,31.02,46.76,929
1JHE,90,109.5,90,124.7,43.7,49.5,135,-0.122,4.76,44.44,5.19,2.22,12.59,24.44,5.93,51.85,48.15,-9.2,1.90E-07,6,3,24,1,13,19,30.6,44.26,189
1JI3,90,96.33,90,118.5,81.237,99.782,388,-0.367,6.63,37.11,11.6,2.06,12.63,19.07,12.89,43.3,56.7,-8.6,4.60E-07,0,3,8,0,14,14,27.01,40.41,815
1JJE,90,100.93,90,71.44,43.24,64.23,222,-0.25,8.4,39.19,9.91,0.45,14.86,17.57,13.06,41.44,58.56,-4.1,1.10E-03,3,2,0,0,0,0,31.19,42.12,402
1JJT,90,100.32,90,71.8,45.18,64.51,228,-0.296,8.85,38.16,9.65,0.44,14.91,17.54,13.6,40.35,59.65,-4.3,6.80E-04,5,4,1,0,0,0,31.31,42.17,395
1JQ7,90,90,90,74.25,74.25,215.8,256,-0.329,5.68,37.89,7.42,3.13,12.89,19.53,13.67,49.22,50.78,-13.6,1.10E-10,14,7,39,3,19,55,35.36,34.29,329
1K0Z,90,90,90,84.74,105.63,46.9,156,-0.484,6.73,36.54,11.54,1.28,16.67,23.08,5.77,48.72,51.28,-12.9,3.60E-10,11,10,25,4,24,48,30.13,38.08,287
1K1T,90,90,90,51.256,58.13,61.563,99,0.239,9.89,49.49,5.05,2.02,11.11,16.16,10.1,49.49,50.51,-13,2.80E-10,7,3,12,11,45,77,24.32,50.68,185
1K20,90,90,90,60.197,87.552,130.027,310,0.046,4.23,43.87,7.1,1.94,9.03,23.55,11.61,44.19,55.81,-10.3,2.60E-08,2,14,38,2,12,31,29.61,41.99,650
1K38,90,90,90,78.979,106.899,129.168,254,-0.5,9.57,35.04,12.2,1.97,16.14,21.65,9.06,46.85,53.15,-11.3,5.40E-09,34,6,35,0,4,16,43.23,33.87,510
1K6M,90,90.7,90,74.98,185.33,89.67,432,-0.406,6.07,33.33,10.19,4.4,15.05,22.92,9.95,54.86,45.14,-6.2,2.60E-05,9,4,3,1,3,2,31.9,37.12,874
1K7H,90,90,90,171.169,171.169,84.332,476,-0.452,4.36,35.5,9.45,2.94,12.39,23.32,13.66,40.97,59.03,-7.9,1.70E-06,4,4,14,0,5,15,36.57,31.8,1015
1KHK,90,90,120,163.511,163.511,138.025,449,-0.363,6.14,41.65,4.9,2.67,11.58,20.71,13.81,36.3,63.7,-26.7,2.60E-20,29,46,66,35,86,106,29.47,38.41,868
1L7O,90,90,90,36.888,117.889,117.361,211,-0.309,8.64,42.18,4.74,2.37,19.43,23.7,6.16,47.87,52.13,-4.5,5.00E-04,16,0,6,0,0,6,50.5,35.22,380
1L8O,90,90,90,106.213,106.213,87.812,225,-0.13,5.42,39.56,8.89,3.56,13.78,21.33,8.89,47.56,52.44,-6.9,8.30E-06,4,7,20,1,5,16,34.77,40.31,276
1LBX,90,104.95,90,53.024,54.584,83.06,252,-0.229,4.73,39.68,9.92,3.97,14.29,20.24,8.73,45.24,54.76,-9.9,5.20E-08,11,6,33,0,14,35,45.37,38.89,450
1LLF,92.71,97.48,109.38,58.461,58.477,89.515,534,-0.047,5.09,39.14,10.49,3.75,8.05,18.54,14.23,37.08,62.92,-6.3,2.40E-05,0,0,0,2,10,34,20.3,46.62,917
1LXY,90,109.74,90,77.24,76.37,82.9,409,-0.198,5.05,37.41,9.05,2.93,13.69,22.25,10.02,48.17,51.83,-9,2.40E-07,8,16,30,4,10,16,37.68,37.27,806
1M08,96.8,103.9,91.4,37.7,39.2,53.2,131,-1.298,10.88,24.43,6.87,2.29,25.95,23.66,10.69,32.82,67.18,-8.7,4.50E-07,15,9,8,0,7,2,45.19,25.96,235
1M38,90,99.74,90,51.69,93.23,69.84,287,-0.518,5.25,33.45,9.76,1.39,14.29,23,11.15,38.68,61.32,-7.6,2.50E-06,11,8,21,0,2,27,35.63,37.35,524
1M6D,90,90,90,68.25,103.26,58.65,214,-0.314,6.1,36.45,11.21,6.07,10.75,19.63,12.15,45.79,54.21,-7,7.00E-06,7,6,6,1,2,0,23.73,38.31,376
1M6K,70.19,84.11,81.51,36.02,51.62,72.89,251,-0.35,7.5,32.67,10.36,2.79,11.55,23.51,16.73,38.65,61.35,-8.1,1.10E-06,8,2,9,1,1,0,27.35,30.77,507
1M7R,90,117.93,90,158.25,82.66,100.13,657,-0.452,7.26,31.66,9.44,3.5,15.37,20.09,14.76,47.34,52.66,-7.6,2.70E-06,9,14,15,1,3,9,31.79,36.43,914
1M9N,90,91.2,90,56.48,107.88,103.86,613,-0.141,8.46,40.95,6.2,3.43,14.85,17.78,12.23,43.23,56.77,-32.1,3.10E-24,41,64,138,36,77,138,31.79,40.63,1217
1MC8,90,90,120,62.67,62.67,180.69,343,-0.472,9.35,37.61,7.87,2.33,17.49,21.57,7.87,48.98,51.02,-7.6,2.60E-06,13,7,17,0,7,19,42.01,37.7,500
1N4O,90,90,90,135.503,135.503,94.856,276,-0.108,8.34,45.29,4.35,3.26,12.68,16.67,13.04,41.67,58.33,-8.1,1.10E-06,35,14,21,2,0,0,29.43,46.86,619
1NA6,90,108.08,90,58.746,92.36,88.308,404,-0.236,6.23,38.37,8.66,2.48,14.6,20.3,11.14,47.77,52.23,-20.2,1.50E-15,11,12,39,12,57,57,29.26,38.52,636
1NMQ,90,90,90,68.858,89.043,96.531,249,-0.397,7.12,29.72,10.84,6.43,16.06,20.08,14.46,43.37,56.63,-20.4,1.20E-15,41,23,61,10,30,53,38.49,27.3,484
1NOW,90,90,120,112.391,112.391,397.309,507,-0.324,6.75,32.35,13.02,2.76,13.21,19.13,13.41,45.56,54.44,-9,2.70E-07,5,19,14,2,10,11,27.35,37.22,970
1NP8,90,90,90,58.04,67.57,75.07,159,-0.447,4.74,30.82,11.32,5.66,13.84,25.16,11.95,44.65,55.35,-9.3,1.50E-07,12,8,18,2,9,12,34.04,34.89,299
1NQD,90,98.73,90,40.867,59.401,48.572,122,-0.989,4.98,29.51,9.84,0.82,14.75,27.87,13.11,40.98,59.02,-9.3,1.40E-07,5,6,11,2,13,22,42.77,25.9,211
1NU3,90,90,90,45.596,47.656,129.244,149,-0.149,4.21,38.26,10.07,3.36,9.4,20.81,13.42,44.97,55.03,-14.5,2.30E-11,18,6,38,8,29,26,27.56,43.56,267
1NZI,87.74,78.04,75.67,35.134,47.499,56.679,159,-0.417,3.97,26.42,14.47,6.29,7.55,26.42,11.95,45.91,54.09,-11.3,5.40E-09,1,6,13,1,17,41,24.12,34.24,235
1O0W,67.2,92,77.7,36,58.5,70.2,252,-0.579,5.7,35.32,8.73,3.17,19.05,25.4,7.14,50,50,-7.6,2.50E-06,7,0,30,0,0,40,46.31,29.83,489
1O12,90,90,120,85.07,85.07,206.01,376,-0.12,6.31,39.36,5.59,3.99,17.02,17.82,12.77,46.81,53.19,-8.2,1.10E-06,12,8,32,0,3,19,40.5,38.64,640
1O9P,90,90,90,103.581,94.79,75.065,414,-0.048,8.13,46.14,5.56,3.14,13.04,14.73,11.35,41.79,58.21,-10.9,1.10E-08,20,6,39,0,10,27,31.4,47.11,796
1OBB,90,106,90,75,85.7,83.6,480,-0.377,5.75,36.67,10,2.92,15.63,21.88,8.13,49.58,50.42,-10.9,1.00E-08,31,10,40,0,2,13,41.38,36.05,1037
1OCL,90,90,90,103.821,94.94,74.783,412,-0.052,8.13,45.87,5.58,3.16,13.11,14.81,11.41,41.99,58.01,-10.9,9.90E-09,20,6,37,0,11,28,31.28,47.12,804
1OME,90,90.25,90,76,55,79.2,258,-0.605,10.12,33.72,7.75,1.55,18.99,22.09,12.4,37.21,62.79,-9.9,5.40E-08,6,15,22,8,17,12,40.36,29.52,432
1OX7,90,90,90,54.491,70.467,71.941,161,-0.451,5.73,36.02,7.45,8.07,14.29,21.12,10.56,47.2,52.8,-12.3,8.90E-10,20,7,44,1,9,22,34.84,37.1,314
1OX8,90,90,90,60.116,60.116,187.984,107,-0.004,4.74,44.86,9.35,1.87,9.35,21.5,4.67,53.27,46.73,-5,2.00E-04,0,5,10,3,6,20,24.56,49.71,163
1OYF,90,90,90,45.866,69.071,75.646,121,-0.447,7.9,28.1,11.57,13.22,14.88,18.18,9.92,47.93,52.07,-8,1.30E-06,0,5,5,0,10,12,28.92,35.78,201
1P4R,90,90,90,83.595,93.035,164.192,592,-0.108,6.7,41.05,7.09,3.21,13.18,19.26,11.99,44.93,55.07,-39.5,1.10E-29,50,72,156,29,92,136,33.07,39.84,1247
1P6C,90,90.9,90,130.4,91.9,69.7,336,0.092,7.06,44.05,7.44,2.08,11.61,15.18,15.48,44.35,55.65,-12.9,3.70E-10,11,11,34,8,27,33,28.03,43.94,679
1P9E,90,90,90,85.02,85.02,199.773,331,-0.004,9.35,44.41,7.25,1.81,12.39,15.41,12.39,37.16,62.84,-16,1.80E-12,12,21,35,19,52,46,23.47,50.37,520
1PIO,90,90,90,54,67.6,141.4,257,-0.635,10.12,33.07,7.78,1.56,19.07,22.18,12.84,36.96,63.04,-15.5,4.30E-12,23,20,28,0,24,12,42.3,26.89,508
1POB,90,90,90,34.6,73.5,181.6,118,-0.433,4.71,28.81,13.56,12.71,9.32,22.88,9.32,44.07,55.93,-7.1,6.20E-06,3,5,7,4,0,1,19.7,33.84,192
1POE,90,90,90,76.3,76.3,115.3,124,-0.736,9.38,24.19,10.48,12.1,21.77,13.71,16.13,40.32,59.68,-8.7,4.40E-07,5,7,6,2,5,7,28.86,27.36,208
1PSA,90,90,100.8,54.1,74.4,76.5,326,0.072,3.06,38.04,10.74,3.07,1.23,20.86,21.47,40.49,59.51,-12.1,1.40E-09,9,31,32,9,15,2,17.22,38.41,566
1PSC,90,91.9,90,129.5,91.4,69.4,365,0.147,8.49,45.75,6.58,2.47,12.05,14.25,15.07,44.11,55.89,-12.7,4.80E-10,11,10,34,8,27,34,29.14,43.95,694
1PSU,90,90,120,69.847,69.847,117.168,140,-0.022,6.78,42.14,7.14,6.43,10.71,19.29,13.57,40,60,-10.9,1.00E-08,4,5,15,3,16,23,18.1,40,239
1PV9,90,97.09,90,56.476,97.227,69.882,348,-0.315,4.89,39.08,7.47,2.87,16.09,22.13,9.2,51.72,48.28,-10.7,1.40E-08,16,6,43,6,12,31,42.86,35.71,595
1PYP,90,90,99.59,52.23,70.29,95.47,285,-0.514,5.24,33.68,9.82,1.05,14.04,23.16,11.23,38.6,61.4,-7.1,6.00E-06,10,6,18,0,2,28,32.58,40.27,266
